Q2,W,SYS_int2,Vz,minPCAL,BE,ThPhi,fidDC,fidPCAL,sysSF,BCC_sys,RC_sys,ET_sys,SYS_SecDepen,SYS_MomCorr,SYS_Smearing,SYS_UnfProc,Total
6.0653,2.05,0.4189,0.5052,0.0012,0.1096,1.1366,0.0252,0.0,0.007,0.206,0.178,0.33,3.3615,0.4322,0.1488,0.3613,3.682
6.0653,2.1,0.4322,0.4886,0.0015,0.0836,1.0347,0.0626,0.0,0.0092,0.102,0.089,0.292,3.1525,0.3708,0.0403,0.1206,3.4209
6.0653,2.15,0.4994,0.4977,0.0012,0.0905,1.0293,0.0791,0.0,0.0132,0.204,0.0,0.345,3.1071,0.4281,0.0369,0.1838,3.4065
6.0653,2.2,0.4839,0.5164,0.0008,0.1519,1.091,0.0321,0.0,0.0118,0.102,0.0,0.29,2.3898,0.3032,0.022,0.0061,2.7592
6.0653,2.25,0.5056,0.4944,0.0012,0.1484,0.9925,0.065,0.0001,0.0117,0.307,0.091,0.319,2.0544,0.196,0.0623,0.0505,2.4456
6.0653,2.3,0.6426,0.5431,0.0008,0.1446,1.0047,0.0686,0.0,0.0243,0.0,0.0,0.312,2.2019,0.2861,0.0633,0.0442,2.6033
6.0653,2.35,0.7667,0.5326,0.0013,0.111,1.022,0.0266,0.0,0.0457,0.102,0.093,0.294,2.5207,0.7818,0.1253,0.0243,3.003
6.0653,2.4,0.8549,0.4918,0.0009,0.0746,0.9284,0.0166,0.0,0.0505,0.0,0.0,0.327,2.6956,0.1992,0.0136,0.1305,3.0452
6.0653,2.45,0.945,0.4821,0.0011,0.0493,0.9416,0.0429,0.0,0.0444,0.204,0.187,0.299,3.2732,0.1663,0.0572,0.2323,3.6032
6.0653,2.5,1.0784,0.5078,0.0024,0.0545,0.9093,0.0663,0.0001,0.0261,0.409,0.188,0.299,3.4967,0.2118,0.2176,0.2105,3.8615
7.0927,1.15,3.3613,0.7974,0.0098,0.2608,0.9527,0.3021,0.0,0.0037,0.428,3.04,0.463,6.5622,0.6134,2.1584,4.8435,9.7055
7.0927,1.2,2.2577,0.9107,0.0005,0.139,1.1272,0.2705,0.0,0.0083,0.623,1.787,0.472,6.5188,0.6276,1.498,0.183,7.5007
7.0927,1.25,1.1485,0.8479,0.0019,0.1474,1.2676,0.1636,0.0,0.0118,0.104,0.753,0.353,7.2936,0.5463,0.8612,0.8415,7.7033
7.0927,1.3,0.7863,0.754,0.0003,0.0523,1.0647,0.1798,0.0,0.0107,0.105,0.423,0.264,6.9948,1.6194,0.7025,1.4825,7.5403
7.0927,1.35,0.4384,0.7031,0.0015,0.04,1.0143,0.069,0.0001,0.0092,0.0,0.252,0.25,7.4819,1.5315,0.5344,1.5006,7.9189
7.0927,1.4,0.5381,0.5847,0.0004,0.0968,1.0139,0.0989,0.0001,0.0005,0.315,0.166,0.3,6.5043,1.0932,0.6267,1.5258,6.9367
7.0927,1.45,0.516,0.5669,0.0018,0.1378,0.9783,0.207,0.0001,0.0008,0.738,0.487,0.34,6.4791,0.7127,0.4757,0.4543,6.7397
7.0927,1.5,0.3988,0.5901,0.0026,0.1309,0.9552,0.2379,0.0001,0.0013,0.908,0.326,0.301,5.8148,0.1852,0.1134,0.643,6.0652
7.0927,1.55,0.4999,0.5915,0.0019,0.1691,0.9544,0.1464,0.0,0.0019,0.734,0.939,0.277,5.4878,0.1057,0.0439,0.736,5.8076
7.0927,1.6,0.6524,0.5717,0.0006,0.1502,1.1149,0.0187,0.0,0.0032,0.104,0.171,0.3,5.3792,0.3798,0.1789,0.5523,5.6183
7.0927,1.65,0.6682,0.4961,0.0013,0.1242,1.3022,0.0534,0.0,0.0043,0.208,0.676,0.34,5.0416,0.6333,0.1339,0.8702,5.4421
7.0927,1.7,0.5748,0.4712,0.0017,0.1103,1.2491,0.0246,0.0001,0.0056,0.406,0.168,0.268,4.7527,0.4906,0.193,0.2041,5.0297
7.0927,1.75,0.6667,0.4824,0.0013,0.1294,1.1258,0.0262,0.0002,0.0069,0.207,0.087,0.329,4.735,0.1468,0.1483,0.2424,4.9642
7.0927,1.8,0.6334,0.5033,0.001,0.1858,1.0323,0.0652,0.0002,0.0092,0.0,0.088,0.335,4.5025,0.0964,0.2204,0.1797,4.7161
7.0927,1.85,0.5658,0.5238,0.0004,0.2171,1.053,0.1236,0.0004,0.0148,0.103,0.088,0.33,4.4089,0.4866,0.1386,0.108,4.6475
7.0927,1.9,0.6681,0.5168,0.0024,0.1781,1.0942,0.0397,0.0005,0.0154,0.103,0.177,0.234,4.8454,0.6415,0.3249,0.0029,5.1025
7.0927,1.95,0.8092,0.4727,0.0029,0.1373,1.0562,0.063,0.0007,0.0121,0.411,0.177,0.274,4.4502,0.6488,0.0522,0.2184,4.7506
7.0927,2.0,0.8776,0.4474,0.0023,0.1161,1.0135,0.0687,0.0009,0.0079,0.0,0.266,0.357,4.4234,0.5349,0.0144,0.3062,4.7075
7.0927,2.05,0.8881,0.4764,0.0022,0.1334,0.9442,0.0169,0.0012,0.0201,0.103,0.178,0.33,3.9347,0.2746,0.0154,0.0502,4.1996
7.0927,2.1,1.0111,0.4707,0.0026,0.1423,0.8523,0.0946,0.0015,0.0176,0.205,0.089,0.292,4.1411,0.4579,0.126,0.4217,4.437
7.0927,2.15,1.1771,0.457,0.0016,0.1351,0.9024,0.0895,0.0018,0.0289,0.0,0.0,0.345,3.9646,0.6434,0.1316,0.1596,4.3278
7.0927,2.2,1.2466,0.4696,0.0014,0.1352,0.942,0.0592,0.002,0.0473,0.103,0.091,0.29,3.6236,0.3339,0.0511,0.2031,4.0093
7.0927,2.25,1.2916,0.4562,0.0023,0.1664,0.9193,0.0678,0.0022,0.0453,0.103,0.0,0.319,3.4454,0.5206,0.2105,0.1915,3.8847
7.0927,2.3,1.3237,0.4154,0.0011,0.1872,0.8644,0.0384,0.0023,0.0318,0.307,0.0,0.312,3.0667,0.6552,0.2079,0.2791,3.5855
7.0927,2.35,1.4281,0.3867,0.002,0.1752,0.8994,0.0273,0.0026,0.0055,0.102,0.092,0.294,2.754,0.4279,0.2817,0.0192,3.3139
7.0927,2.4,1.5126,0.3786,0.0019,0.1525,0.8911,0.0749,0.0029,0.0123,0.204,0.0,0.327,2.4505,0.3768,0.1719,0.349,3.1147
7.0927,2.45,1.6965,0.3808,0.0016,0.1797,0.8617,0.0172,0.0033,0.0154,0.102,0.093,0.299,2.821,0.3955,0.0669,0.3346,3.4839
7.0927,2.5,1.7883,0.403,0.0005,0.172,0.8267,0.0221,0.0036,0.0272,0.0,0.094,0.299,2.6696,0.6555,0.1104,0.0955,3.4279
8.2941,1.15,2.8862,0.9208,0.0152,0.4007,1.3385,0.3168,0.001,0.0346,0.644,3.344,0.463,12.5886,0.5582,1.3412,1.6028,13.6454
8.2941,1.2,1.089,1.0165,0.0065,0.1083,1.2501,0.1442,0.0015,0.0307,0.521,1.993,0.472,13.0027,1.3412,1.571,1.2593,13.5353
8.2941,1.25,1.0653,0.9958,0.0008,0.1221,1.1817,0.2536,0.0016,0.0208,0.0,0.929,0.353,12.512,0.3767,1.6857,0.3884,12.817
8.2941,1.3,1.3144,0.947,0.0009,0.0806,1.2014,0.3044,0.002,0.0049,0.0,0.424,0.264,11.689,1.1639,0.8384,0.8036,11.9897
8.2941,1.35,0.7956,0.7993,0.0022,0.2083,0.9114,0.132,0.0025,0.0056,0.418,0.253,0.25,10.3459,0.7921,0.5195,0.4745,10.5178
8.2941,1.4,0.6443,0.5951,0.0031,0.2119,0.9157,0.1184,0.0027,0.0072,0.421,0.166,0.3,10.1692,0.7923,0.4086,0.8711,10.3406
8.2941,1.45,0.8095,0.468,0.002,0.1957,0.9678,0.1876,0.0031,0.008,1.06,0.488,0.34,9.8938,1.1001,0.4144,0.34,10.1364
8.2941,1.5,0.6419,0.4515,0.0014,0.1557,1.0381,0.137,0.0036,0.0131,0.609,0.245,0.301,8.6113,0.7005,0.1562,0.6548,8.7953
8.2941,1.55,0.7673,0.488,0.0044,0.2138,1.0387,0.0832,0.0038,0.0282,0.736,0.939,0.277,7.6924,0.7346,0.1921,1.1665,8.0355
8.2941,1.6,0.8818,0.4765,0.0012,0.2112,1.0859,0.1007,0.0037,0.0275,0.0,0.086,0.3,7.0743,0.9846,0.1396,1.3325,7.4261
8.2941,1.65,0.7758,0.4796,0.0009,0.2826,0.9528,0.0349,0.0036,0.0345,0.0,0.676,0.34,6.5842,1.0716,0.1927,0.5117,6.8698
8.2941,1.7,0.8923,0.5021,0.0008,0.3004,0.9002,0.0294,0.0027,0.0254,0.0,0.168,0.268,6.2289,0.8576,0.396,0.5439,6.4837
8.2941,1.75,1.2717,0.4813,0.0021,0.3094,0.8737,0.0409,0.0018,0.0098,0.0,0.087,0.329,5.6424,0.5758,0.3578,0.1065,5.9273
8.2941,1.8,1.4358,0.4702,0.0018,0.2405,0.8876,0.0982,0.0003,0.0413,0.0,0.0,0.335,4.9145,0.5538,0.276,0.5817,5.3033
8.2941,1.85,1.6306,0.4531,0.0014,0.1906,0.9418,0.1442,0.0013,0.0476,0.207,0.088,0.33,4.3192,0.8782,0.0573,0.7577,4.8963
8.2941,1.9,1.6481,0.4247,0.0033,0.156,1.0336,0.0963,0.0034,0.0543,0.103,0.177,0.234,3.8253,1.1426,0.0823,0.6684,4.5266
8.2941,1.95,1.6815,0.421,0.0043,0.1635,1.0357,0.0494,0.0048,0.0264,0.516,0.177,0.274,3.2911,0.9441,0.0947,0.4932,4.0565
8.2941,2.0,1.7266,0.4076,0.0007,0.1286,0.9997,0.0147,0.0089,0.0461,0.103,0.266,0.357,3.153,0.8333,0.1392,0.3466,3.8923
8.2941,2.05,1.7469,0.3702,0.0017,0.1542,0.985,0.0266,0.0107,0.0387,0.414,0.178,0.33,3.2894,0.6193,0.0585,0.2427,3.9703
8.2941,2.1,1.7151,0.3825,0.0015,0.1465,0.9697,0.0389,0.0165,0.0227,0.309,0.09,0.292,3.3631,0.5895,0.0624,0.0502,3.9881
8.2941,2.15,1.5385,0.3852,0.0003,0.0956,0.978,0.0622,0.0221,0.0026,0.103,0.0,0.345,3.3876,0.7053,0.0096,0.1609,3.9515
8.2941,2.2,1.4782,0.3839,0.0002,0.0837,0.9415,0.0287,0.0223,0.0378,0.31,0.0,0.29,3.3523,0.9574,0.1217,0.0598,3.9474
8.2941,2.25,1.5416,0.3933,0.0011,0.1356,0.9288,0.0121,0.0215,0.0459,0.411,0.0,0.319,3.1898,0.9001,0.1383,0.3381,3.8476
8.2941,2.3,1.5859,0.3938,0.003,0.1443,0.8684,0.0326,0.0245,0.0323,0.31,0.0,0.312,3.2182,0.7041,0.3396,0.1962,3.8272
8.2941,2.35,1.6269,0.4172,0.0022,0.1287,0.8902,0.0329,0.0388,0.0342,0.103,0.0,0.294,3.3934,0.4829,0.1668,0.0268,3.938
8.2941,2.4,1.7325,0.4277,0.0013,0.1152,0.8569,0.0221,0.0499,0.0393,0.103,0.093,0.327,3.456,0.27,0.0959,0.1861,4.0154
8.2941,2.45,1.8622,0.4308,0.0024,0.0935,0.7913,0.0335,0.0581,0.0486,0.307,0.0,0.299,3.0666,0.4242,0.0167,0.1596,3.7535
8.2941,2.5,2.0071,0.4585,0.0039,0.0641,0.7294,0.0642,0.0793,0.037,0.102,0.094,0.299,2.7147,0.6767,0.0207,0.0973,3.5683
9.6991,1.15,4.5568,0.7269,0.0073,0.3895,1.0767,0.3811,0.0061,0.1999,0.854,3.452,0.463,9.8378,2.5797,2.2368,0.9594,12.042
9.6991,1.2,3.8653,0.8372,0.0067,0.4673,0.7372,0.3409,0.0112,0.06,0.726,2.116,0.472,11.6076,1.2567,0.8517,2.6045,12.8676
9.6991,1.25,2.8522,0.8363,0.0121,0.2567,0.9519,0.1741,0.0398,0.0648,0.0,1.024,0.353,12.925,2.513,1.4838,1.3142,13.7228
9.6991,1.3,1.9223,0.8147,0.0152,0.3445,0.9312,0.1477,0.0355,0.0866,0.209,0.513,0.264,12.0488,2.2513,1.5753,3.6525,13.1079
9.6991,1.35,1.4844,0.7917,0.0121,0.191,0.6671,0.1251,0.0604,0.0848,0.104,0.254,0.25,10.6659,1.9475,0.9288,1.4201,11.1315
9.6991,1.4,0.7178,0.6602,0.0114,0.0122,0.8753,0.0675,0.0523,0.103,0.105,0.167,0.3,10.9405,1.2649,0.6479,4.232,11.8949
9.6991,1.45,0.698,0.6476,0.0039,0.0716,0.8845,0.1155,0.0911,0.0286,0.954,0.409,0.34,8.9728,1.3315,0.5208,2.0304,9.4651
9.6991,1.5,0.7453,0.5782,0.0024,0.1095,0.9409,0.1201,0.0842,0.0423,0.609,0.328,0.301,8.3444,1.1192,0.2144,3.4153,9.218
9.6991,1.55,0.8773,0.5829,0.0039,0.1985,0.8768,0.0216,0.1068,0.0277,0.839,0.855,0.277,8.2599,1.1837,0.4899,0.262,8.5661
9.6991,1.6,0.9683,0.5285,0.0005,0.2268,0.7668,0.0078,0.1138,0.0512,0.0,0.086,0.3,6.9232,1.6149,0.3134,1.1851,7.3492
9.6991,1.65,1.0342,0.4917,0.0028,0.1998,0.8661,0.0626,0.1301,0.0702,0.209,0.679,0.34,6.4228,1.6574,0.5569,1.8265,7.0988
9.6991,1.7,0.9409,0.4514,0.0028,0.1593,0.8788,0.0493,0.1855,0.0861,0.204,0.169,0.268,5.1525,1.221,0.2068,1.7123,5.7521
9.6991,1.75,0.8863,0.4621,0.0021,0.1148,0.9296,0.094,0.1887,0.0692,0.312,0.087,0.329,4.5956,0.9351,0.017,2.5406,5.5306
9.6991,1.8,0.9214,0.5121,0.0049,0.1084,0.82,0.0697,0.2328,0.0341,0.208,0.0,0.335,4.7308,1.0425,0.0777,0.5809,5.0815
9.6991,1.85,0.8031,0.5137,0.0029,0.098,0.7481,0.0519,0.2475,0.0429,0.312,0.088,0.33,4.2197,1.2888,0.0427,1.0491,4.7252
9.6991,1.9,0.9372,0.451,0.0009,0.0854,0.6959,0.0501,0.27,0.0624,0.104,0.178,0.234,4.5837,1.1978,0.1541,0.9761,5.0171
9.6991,1.95,0.8449,0.4275,0.0014,0.0664,0.6756,0.1131,0.2864,0.0666,0.0,0.178,0.274,4.145,1.0547,0.1483,1.8601,4.831
9.6991,2.0,0.9257,0.449,0.0028,0.0563,0.6172,0.0789,0.2944,0.0549,0.0,0.268,0.357,4.2293,1.1844,0.1634,0.2911,4.5977
9.6991,2.05,1.0379,0.4695,0.0034,0.0283,0.5031,0.0509,0.2621,0.0562,0.207,0.179,0.33,3.9845,1.5942,0.3421,0.4489,4.5328
9.6991,2.1,1.178,0.5013,0.0037,0.0662,0.4082,0.0106,0.1335,0.015,0.207,0.09,0.292,3.9858,1.6859,0.1802,1.0184,4.6651
9.6991,2.15,1.3323,0.487,0.0027,0.0841,0.3529,0.0174,0.1231,0.0317,0.103,0.0,0.345,4.3448,1.3999,0.0589,0.1026,4.8105
9.6991,2.2,1.4577,0.4525,0.0021,0.0722,0.2471,0.0256,0.3162,0.0353,0.206,0.0,0.29,4.2488,0.7432,0.035,0.3048,4.6177
9.6991,2.25,1.6818,0.4896,0.0029,0.0605,0.1528,0.0226,0.2346,0.0435,0.413,0.0,0.319,4.3547,0.8518,0.1005,0.2629,4.8159
9.6991,2.3,1.6915,0.5716,0.0025,0.0854,0.1547,0.0391,0.3471,0.047,0.206,0.0,0.312,4.8476,1.607,0.1512,0.6587,5.4792
9.6991,2.35,1.6025,0.5944,0.0042,0.101,0.1509,0.083,0.1534,0.0402,0.206,0.0,0.294,5.1039,1.7101,0.4048,1.3332,5.8336
9.6991,2.4,1.4281,0.5658,0.0044,0.0786,0.0819,0.0325,0.2128,0.0093,0.206,0.094,0.327,4.9345,1.4437,0.2887,0.4247,5.4106
9.6991,2.45,1.3279,0.5122,0.0015,0.0333,0.0277,0.0574,0.0882,0.0201,0.308,0.094,0.299,4.8043,1.4276,0.1261,0.9508,5.3171
9.6991,2.5,1.1599,0.4702,0.0032,0.0432,0.0151,0.1011,0.1706,0.0299,0.402,0.095,0.299,5.3598,0.7182,0.1033,1.3362,5.7366
