Q2,W,SYS_int2,Vz,minPCAL,BE,ThPhi,fidDC,fidPCAL,sysSF,BCC_sys,RC_sys,ET_sys,SYS_SecDepen,SYS_MomCorr,SYS_Smearing,SYS_UnfProc,Total
3.2435,1.55,0.8205,0.5264,0.0012,0.0054,0.0005,0.1274,0.0051,0.0082,0.725,1.137,0.336,2.3954,0.1416,0.0628,0.085,2.944
3.2435,1.6,0.581,0.5426,0.0006,0.0015,0.0001,0.117,0.0057,0.005,0.0,0.176,0.333,2.8512,0.0855,0.2099,0.4202,3.024
3.2435,1.65,0.3602,0.51,0.0005,0.0006,0.0003,0.1598,0.0162,0.0037,0.613,0.862,0.371,2.4652,0.1247,0.0893,0.0566,2.7886
3.2435,1.7,0.2976,0.5053,0.0006,0.0053,0.0013,0.1017,0.0126,0.0012,0.604,0.172,0.345,1.9447,0.0627,0.1981,0.0404,2.1667
3.2435,1.75,0.3412,0.5307,0.0006,0.0041,0.0005,0.0949,0.0077,0.0039,0.205,0.268,0.294,1.8308,0.1212,0.1031,0.3443,2.0256
3.2435,1.8,0.4,0.5096,0.0005,0.0008,0.0002,0.0541,0.0041,0.0041,0.204,0.0,0.403,2.0963,0.2073,0.0993,0.0015,2.2526
3.2435,1.85,0.4677,0.5452,0.0006,0.0007,0.0004,0.0472,0.0046,0.0023,0.0,0.0,0.343,2.3684,0.0379,0.0207,0.1612,2.5046
3.2435,1.9,0.5362,0.5661,0.0008,0.0019,0.0013,0.0251,0.0114,0.0028,0.203,0.0,0.335,2.3093,0.1957,0.0461,0.0239,2.4771
3.2435,1.95,0.6116,0.5503,0.0006,0.0038,0.0025,0.0632,0.0089,0.007,0.812,0.181,0.353,2.3741,0.0908,0.0715,0.0289,2.6736
3.2435,2.0,0.6895,0.5472,0.0005,0.0057,0.0011,0.088,0.0047,0.0024,0.204,0.273,0.359,2.5395,0.0621,0.0192,0.1595,2.7398
3.2435,2.05,0.6145,0.5491,0.0008,0.0032,0.0133,0.0614,0.0071,0.002,0.306,0.092,0.304,2.4024,0.1305,0.0362,0.0416,2.5825
3.2435,2.1,0.3365,0.566,0.001,0.0012,0.0555,0.002,0.0066,0.0016,0.507,0.092,0.311,2.4372,0.1588,0.0311,0.021,2.6011
3.2435,2.15,0.0539,0.5578,0.0012,0.0041,0.0637,0.0614,0.0074,0.0026,0.406,0.0,0.352,2.4068,0.308,0.0854,0.0757,2.5517
3.2435,2.2,0.0246,0.5819,0.001,0.0035,0.102,0.0803,0.0085,0.0025,0.0,0.0,0.351,2.0271,0.0938,0.0062,0.0996,2.1465
3.2435,2.25,0.1333,0.593,0.0002,0.0021,0.2132,0.0285,0.0093,0.0012,0.304,0.095,0.397,1.8569,0.098,0.1023,0.0388,2.0358
3.2435,2.3,0.1643,0.5918,0.0007,0.0062,0.2463,0.0276,0.0074,0.0009,0.101,0.095,0.312,2.0352,0.1883,0.0615,0.0301,2.1766
3.2435,2.35,0.1988,0.5845,0.0012,0.0077,0.33,0.0989,0.0087,0.0008,0.202,0.0,0.304,2.2956,0.053,0.0401,0.0055,2.4305
3.2435,2.4,0.2198,0.5799,0.0008,0.0103,0.4216,0.0213,0.0092,0.0007,0.101,0.0,0.329,2.0683,0.224,0.0382,0.1259,2.242
3.2435,2.45,0.2167,0.5802,0.0005,0.0032,0.4455,0.0673,0.011,0.001,0.101,0.097,0.401,2.1191,0.1665,0.0522,0.04,2.2999
3.2435,2.5,0.06,0.5755,0.0019,0.0132,0.6054,0.1236,0.0111,0.0008,0.101,0.098,0.401,2.2002,0.0847,0.0345,0.0596,2.398
3.793,1.15,1.4162,0.7512,0.0002,0.0076,0.0045,0.3439,0.0009,0.0571,0.535,2.423,0.398,7.199,0.9232,2.4966,3.0206,8.7774
