Q2,W,BCC_iter3_reversed,RC_iter3_reversed,ET,Combination
4.43,1.7,1.009,0.834,0.967,1.1491302498140241
4.43,1.75,1.03,0.865,0.968,1.086480722823952
4.43,1.8,1.03,0.877,0.97,1.073828475274269
4.43,1.85,1.021,0.876,0.971,1.0856488624725513
4.43,1.9,1.019,0.879,0.968,1.0807177841712803
4.43,1.95,1.022,0.883,0.967,1.0715560057001903
4.43,2.0,1.02,0.889,0.967,1.0664108162950219
4.43,2.05,1.02,0.895,0.965,1.057070873041954
4.43,2.1,1.019,0.901,0.969,1.0554187420149241
4.43,2.15,1.02,0.907,0.967,1.0452472058283069
4.43,2.2,1.018,0.915,0.968,1.0392175808131232
4.43,2.25,1.018,0.922,0.967,1.0302622214456485
4.43,2.3,1.018,0.927,0.967,1.0247052515349384
4.43,2.35,1.018,0.933,0.966,1.017062647268776
4.43,2.4,1.016,0.94,0.966,1.011475959122131
4.43,2.45,1.017,0.948,0.964,0.9998796825278287
4.43,2.5,1.016,0.955,0.964,0.9935276415055448
5.185,1.15,1.075,0.929,0.944,0.9452524595088492
5.185,1.2,1.022,0.797,0.955,1.1724495232857068
5.185,1.25,1.037,0.804,0.957,1.1478288403690324
5.185,1.3,1.042,0.827,0.956,1.1093910649922134
5.185,1.35,1.04,0.826,0.964,1.1221829018439187
5.185,1.4,1.044,0.816,0.965,1.1327567425437608
5.185,1.45,1.041,0.801,0.967,1.1596935147108383
5.185,1.5,1.013,0.802,0.969,1.1927240142486824
5.185,1.55,1.038,0.834,0.965,1.114715164284757
5.185,1.6,1.034,0.847,0.966,1.1029940694086993
5.185,1.65,1.04,0.838,0.969,1.111850559941252
5.185,1.7,1.011,0.83,0.971,1.1571508586273882
5.185,1.75,1.032,0.858,0.97,1.0954807466435372
5.185,1.8,1.03,0.87,0.971,1.0835844213815422
5.185,1.85,1.027,0.87,0.97,1.0856305050979866
5.185,1.9,1.024,0.874,0.966,1.079358552631579
5.185,1.95,1.026,0.879,0.97,1.075562119810967
5.185,2.0,1.027,0.883,0.967,1.0663390825955157
5.185,2.05,1.024,0.889,0.968,1.063343644544432
5.185,2.1,1.025,0.895,0.968,1.0551846300585912
5.185,2.15,1.021,0.901,0.968,1.0522642705188814
5.185,2.2,1.022,0.908,0.968,1.0431304257868736
5.185,2.25,1.022,0.916,0.969,1.035088318990933
5.185,2.3,1.02,0.921,0.969,1.0314875135722041
5.185,2.35,1.022,0.927,0.968,1.0217501905226336
5.185,2.4,1.019,0.934,0.966,1.0149766849558601
5.185,2.45,1.018,0.941,0.968,1.0105038113113793
5.185,2.5,1.017,0.948,0.968,1.0040285608785666
6.06,1.15,1.078,0.951,0.944,0.9208157022487803
6.06,1.2,1.029,0.807,0.955,1.1500440147735496
6.06,1.25,1.04,0.808,0.957,1.1388518659558262
6.06,1.3,1.046,0.826,0.956,1.1064866041046486
6.06,1.35,1.042,0.823,0.964,1.1241117301758698
6.06,1.4,1.042,0.813,0.965,1.1391188767933744
6.06,1.45,1.045,0.799,0.967,1.1581462474025546
6.06,1.5,1.016,0.8,0.969,1.1921751968503935
6.06,1.55,1.036,0.831,0.965,1.1208991353395685
6.06,1.6,1.036,0.845,0.966,1.103470334239565
6.06,1.65,1.041,0.835,0.969,1.1147733351740325
6.06,1.7,1.014,0.826,0.971,1.1593143926911853
6.06,1.75,1.034,0.853,0.97,1.0997707488191637
6.06,1.8,1.035,0.867,0.971,1.0820810279212567
6.06,1.85,1.028,0.867,0.97,1.0883272970437887
6.06,1.9,1.026,0.87,0.966,1.0822074342945487
6.06,1.95,1.026,0.875,0.97,1.0804789752158173
6.06,2.0,1.027,0.876,0.967,1.074860056999818
6.06,2.05,1.027,0.878,0.968,1.0735206375470498
6.06,2.1,1.021,0.883,0.968,1.073714731299561
6.06,2.15,1.022,0.89,0.968,1.0642274456342486
6.06,2.2,1.024,0.898,0.968,1.052686525612472
6.06,2.25,1.022,0.905,0.969,1.0476695029786682
6.06,2.3,1.022,0.911,0.969,1.0407693745287538
6.06,2.35,1.019,0.917,0.968,1.035933404892645
6.06,2.4,1.021,0.923,0.966,1.0250609359464251
6.06,2.45,1.02,0.929,0.968,1.021549631693366
